match_no,batting_team,batting_side,overs,runs,"bowler_to_batsman, runs",commentary,numerical_runs,bowler,batsman,preprocessed_commentary
1,AFG,2,0.1,1,"Madushanka to Hazratullah Zazai, 1 run",nudged down to fine leg for a single,1,Madushanka,Hazratullah Zazai,"['nudg', 'fine', 'leg']"
1,AFG,2,0.2,0,"Madushanka to Rahmanullah, no run","lovely delivery, Holds its line and beats the defensive straight bat",0,Madushanka,Rahmanullah,"['love', 'deliveri', 'hold', 'line', 'beat', 'defens', 'straight', 'bat']"
1,AFG,2,0.3,1lb,"Madushanka to Rahmanullah, 1 leg bye",shaping back into him. He squeezes it thbrough the onside for a single,1,Madushanka,Rahmanullah,"['shape', 'back', 'squeez', 'onsid']"
1,AFG,2,0.4,0,"Madushanka to Hazratullah Zazai, no run","driven to extra cover, where it's well fielded",0,Madushanka,Hazratullah Zazai,"['driven', 'extra', 'cover', 'well', 'field']"
1,AFG,2,0.5,5w,"Madushanka to Hazratullah Zazai, 5 wide","well, that's help. 5 free runs gifted to Afghamistan, as this is so far down leg the keeper can do nought about it",5,Madushanka,Hazratullah Zazai,"['well', 'help', 'free', 'run', 'gift', 'thi', 'far', 'leg', 'keeper', 'nought']"
1,AFG,2,0.5,0,"Madushanka to Hazratullah Zazai, no run",swing and a miss outside off,0,Madushanka,Hazratullah Zazai,"['swing', 'miss', 'outsid']"
1,AFG,2,0.6,4,"Madushanka to Hazratullah Zazai, FOUR runs",picked up over midwicket and it races away for four. Great start for Afghanistan,4,Madushanka,Hazratullah Zazai,"['pick', 'midwicket', 'race', 'away', 'great', 'start']"
1,AFG,2,1.1,0,"Theekshana to Rahmanullah, no run","looked to heave over cover, and he's trapped in front. It looks plumb to me, really, and the umpire agrees. Afghanistan review, though. And what do I know!! Missing leg stump by some distance",0,Theekshana,Rahmanullah,"['look', 'heav', 'cover', 'trap', 'front', 'look', 'plumb', 'realli', 'umpir', 'agre', 'review', 'though', 'know', 'miss', 'leg', 'stump', 'distanc']"
1,AFG,2,1.2,2w,"Theekshana to Rahmanullah, 2 wide",heading down leg and they come through for a run,2,Theekshana,Rahmanullah,"['head', 'leg', 'come', 'run']"
1,AFG,2,1.2,0,"Theekshana to Hazratullah Zazai, no run",defended,0,Theekshana,Hazratullah Zazai,['defend']
1,AFG,2,1.3,0,"Theekshana to Hazratullah Zazai, no run",slapped to mid-off,0,Theekshana,Hazratullah Zazai,"['slap', 'doff']"
1,AFG,2,1.4,0,"Theekshana to Hazratullah Zazai, no run",beat the outside edge by a whisker,0,Theekshana,Hazratullah Zazai,"['beat', 'outsid', 'edg', 'whisker']"
1,AFG,2,1.5,2,"Theekshana to Hazratullah Zazai, 2 runs",slapped over cover in the air. Just about clears the infield,2,Theekshana,Hazratullah Zazai,"['slap', 'cover', 'air', 'clear', 'infield']"
1,AFG,2,1.6,0,"Theekshana to Hazratullah Zazai, no run","driven to cover-point. Better over, but Sri Lanka need wickets",0,Theekshana,Hazratullah Zazai,"['driven', 'overprint', 'better', 'sri', 'lanka', 'need', 'wicket']"
